district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-20_dem,comp16-20_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_total,pop_white,pop_hispanic,pop_black,pop_asian,pop_native,pop_pacific,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
GA-11,GA,11,301050,70849,218446,324532,86400,230345,395877,120165,269620,438372,137409,297502,765666,533040,77311,86859,50766,18333,1056,570346,414963,49711,59312,32509,13268,701,95734,114449,89423,101036,115134,108061,81635,46637,19381,40347,131463,6004,124599,51158,42340,8630,110309,31708,4146,27284,34827,5353,5960,6626,6272,6747,7720,7663,15092,23012,35579,40816,7952
GA-12,GA,12,302038,145704,147648,312119,151694,155455,358145,181677,171767,368270,181570,184366,765591,397015,48425,284061,26913,13534,2058,598164,327263,32961,209147,20439,10151,1339,88471,107664,121109,96896,91084,91561,88213,55216,25548,45446,86715,11341,146699,41083,57186,12782,100552,24412,14041,15586,19449,13424,13775,14067,12444,11739,10290,10237,19958,26446,33767,20129,19846
GA-13,GA,13,306573,174534,124404,323030,194166,124020,373538,235470,134059,387756,253765,131497,765016,243993,70186,419574,28736,13923,1336,576033,200474,45366,305339,21005,10162,853,96399,120184,100635,96936,100774,107179,79651,46987,19017,48828,90983,5220,149097,39931,45633,7663,112016,27773,5774,20622,22513,6933,8625,9627,10663,9875,9583,11461,22030,28632,41508,21755,10597
GA-14,GA,14,272151,56288,208087,280544,59465,216224,337527,75681,257738,375067,83146,290041,764144,579378,90996,64640,9999,22889,852,589293,463994,57221,45460,7092,16900,552,91249,104325,99376,92960,97283,101381,93345,61440,27030,39845,64876,4294,178407,27023,89428,8811,109603,25989,12654,17379,16823,13121,13594,13191,14695,13293,12328,12045,22302,28750,39264,15282,13535
HI-01,HI,1,208431,131565,63534,208445,138600,63745,279671,178661,96350,248838,153038,91497,726395,107302,56401,26105,495204,16141,153851,585659,94213,38697,18240,398963,10962,104993,78728,77303,98321,103704,89562,89927,85412,57975,42253,59273,126695,8712,124231,47969,41195,14510,98879,27877,5948,22228,30841,4933,6450,5543,6174,6590,7073,7395,13602,20472,32257,42362,9964
HI-02,HI,2,220506,135326,65313,222658,145579,68446,294798,187469,100514,267863,160006,102164,728876,207063,82522,20678,328939,25387,240251,570246,181411,54410,13744,247592,17167,159458,90807,89344,92061,96280,85223,86202,95813,62219,29455,53787,100548,7505,148596,38015,33398,11029,108187,25999,6655,20143,25916,5491,6809,6419,6938,6479,6880,6763,14101,19967,30536,34519,10582
IA-01,IA,1,396571,196183,170213,382978,196918,172860,427911,227777,190556,419810,212803,199015,796658,643548,45902,65133,26386,14035,1584,617853,517321,29727,39097,19065,9961,1048,94831,106005,114982,102429,93828,97448,96326,57130,32438,63507,114978,9331,149089,44121,31190,11502,108190,34202,12172,24016,25802,11174,12307,13046,13163,13082,12384,13027,25081,31099,44580,25655,14730
IA-02,IA,2,400346,158430,215393,383095,155592,215768,421638,172990,240810,408158,155707,245689,798168,689674,43837,33441,14032,13353,3303,616624,547722,26532,20298,9631,9218,1925,95221,106909,100752,93553,85821,98514,107540,66823,41872,67819,91257,4757,189982,30776,40606,6801,107817,34807,13086,22575,20375,13055,13895,12224,14006,13448,13465,14148,26082,34471,47969,17069,13978
IA-03,IA,3,375444,181412,163023,378443,191714,173633,426862,225749,191500,432355,219103,205330,797380,621758,62663,53598,44030,13085,2509,606583,491748,39425,32659,30857,9217,2036,103935,111271,122999,114326,98919,93362,80815,47584,26233,54816,139133,9993,126859,47879,31122,11285,97801,34697,9260,25421,31500,9124,9261,10265,11125,11157,11320,12457,22841,31890,44105,31467,11932
IA-04,IA,4,393670,117644,252354,375572,117526,247074,414460,132545,274806,403183,119665,276985,798163,683221,63584,20816,12413,15485,2677,609043,536978,38420,12082,8397,10321,1619,98477,109356,92724,93127,88202,100112,107167,64717,43088,69039,88012,3548,186862,25513,45727,6443,115447,36338,12336,22534,20841,14306,12929,13167,13753,12676,12609,13251,25692,33984,47263,17561,12904
ID-01,ID,1,356181,84550,221971,357738,99809,241644,437008,122320,301780,453333,115612,325058,919515,753153,100863,8891,15951,36519,3925,688670,579050,63963,5287,10859,25101,2399,122283,141912,123227,112463,106227,103507,113063,70826,33606,62690,109067,7481,168338,36606,51060,8891,152895,32209,12676,23384,22211,12439,14534,14266,14225,13362,13749,14567,27980,36098,48073,19505,13725
ID-02,ID,2,334243,105212,187087,352896,130268,207621,430273,164701,252339,451728,159347,280192,919591,697370,138544,18754,31562,29033,5368,687730,542416,87737,10760,21503,20424,3327,115693,136072,123200,126421,118605,109790,100938,67001,29275,56921,135305,7926,150840,49154,52660,11793,150669,36590,9930,25542,25805,10294,11666,11510,13145,12832,12803,13648,27665,37655,52633,29467,11135
IL-01,IL,1,341710,253996,71902,319085,227853,75791,348674,257381,86131,306427,208537,90212,752963,253150,127483,344357,27812,13351,815,582280,205601,85896,268972,20356,9598,608,91842,95590,92136,94449,91774,99953,94376,55960,31343,40168,100438,6456,132975,51090,58478,11642,114765,25313,15041,19240,21736,11026,12892,11933,11977,10961,9942,9985,19041,25593,32661,32291,22940
IL-02,IL,2,330602,263018,55668,303212,237766,51690,331335,265094,62024,291914,221117,66005,753055,166612,162360,416199,9108,15150,839,577150,145245,109593,314143,6657,10930,631,90936,111588,97629,96224,93959,96104,86865,50589,28810,42252,73740,3530,146483,36396,62798,5163,131761,26913,12433,17815,19839,11549,12066,13030,12123,10203,10245,10776,21255,27090,37649,15103,21334
IL-03,IL,3,256188,181141,59732,245952,171822,62321,285284,201831,77927,256859,165764,84074,754480,272633,372240,51268,61060,29035,1483,589107,236194,267797,36530,47925,21490,1100,87054,98008,113248,123479,101662,92448,75643,38083,20099,37410,111285,4514,129574,44218,86598,8998,89107,30193,8685,20687,26858,7233,8990,10022,9330,8755,8783,9393,17986,24744,38963,28716,10544
IL-04,IL,4,219865,166090,42274,203597,151181,42508,233993,174112,55664,203807,131621,67801,753208,148577,500921,56568,50382,37135,945,570725,129917,357636,43330,40355,27385,702,85856,106066,109649,104076,99466,89350,70138,45399,21550,30941,67520,3375,153003,28470,115767,5920,80282,24311,9117,15998,19892,8270,13123,13856,11116,10269,9548,10058,17585,23576,31709,15845,12524
IL-05,IL,5,330945,187796,120991,323982,178858,131333,375920,220367,149380,350586,194176,148446,753001,494846,100080,22638,129987,10270,804,595777,406052,70067,16138,98376,7415,618,91417,88852,69123,103206,99929,100870,98010,57481,41308,37403,164209,9353,99920,82177,41636,20228,85565,31252,5604,24846,34335,6822,7882,8277,8150,7678,8196,8132,16761,22847,35319,56153,10574
IL-06,IL,6,334511,189753,117620,331597,185902,130111,375932,233734,134010,353674,208421,131256,754148,427019,148058,64909,107220,14384,939,574557,346388,99588,46400,75740,10095,622,92460,107823,95910,99056,101688,101025,83200,48126,25324,34321,153407,10660,85861,80502,41452,16444,82572,29193,4318,24693,33984,4952,6518,5670,6634,7199,6558,6918,15663,22497,33239,57184,8946
IL-07,IL,7,329259,285215,28645,310195,258037,38276,338533,295473,37679,297046,249359,41726,753124,254197,88385,342312,68557,10309,1075,621984,230051,65347,265676,58854,7880,807,72920,77273,148800,137995,87000,79527,72879,43604,20442,27418,147368,19236,88634,88631,46967,34685,79827,29419,19368,21067,31678,12927,11989,10600,9704,9770,10036,9715,17808,22328,37701,61101,30102
IL-08,IL,8,328636,162441,144687,327605,162135,150747,384072,204916,171673,367581,186041,173794,753107,493945,132658,31533,86607,14543,888,578917,399022,88376,20392,63867,10162,631,89025,101981,84523,95677,100773,110046,89739,50771,25575,45443,140561,6688,112419,60410,36393,9973,101530,32683,3927,27542,39026,4205,4846,6193,5937,5541,6611,6868,14277,22076,36089,46305,7913
IL-09,IL,9,359757,287606,48911,353752,276093,64875,392597,326010,59754,363636,295149,60267,753260,464883,95287,82482,104245,12242,1229,621789,396360,72676,64467,82020,9318,949,81092,76471,134922,131112,95209,90950,74125,44682,25633,22582,198489,17785,56350,112164,32225,37483,62086,29669,12063,23660,31846,8426,8867,8604,9358,8816,8833,9853,19160,26245,39596,74237,15902
IL-10,IL,10,308708,168950,116575,299155,160757,125496,340910,202073,132055,317962,181301,128300,754238,417998,190003,60181,78832,18387,1465,577387,343087,128340,42212,56542,13000,1028,90296,109149,98394,93297,97713,105618,85137,48972,25438,34237,134665,8759,103211,67784,48589,12855,90180,28182,5761,23165,31586,5936,7696,6942,7662,7016,6864,7970,15004,21303,35014,51443,9510
IL-11,IL,11,339941,155427,162908,331404,157291,157759,386463,190020,189865,371828,169363,190814,754164,540700,112106,56565,36074,12227,646,576132,429336,74355,39544,25361,8549,448,91068,108355,84186,94267,104852,106519,86486,50854,27319,50260,119854,5983,128081,56011,33843,8697,109003,34183,4457,27823,37706,4243,5249,5909,6691,6139,6962,7593,14696,22747,35056,39487,7428
IL-12,IL,12,364096,147386,193648,343222,154829,173729,379696,164618,207017,365418,156830,199855,753533,554354,31502,132873,15456,17548,1197,588850,447643,20635,93845,11146,13119,776,86224,98257,96561,97005,90966,98731,94755,58617,31894,56128,89756,6580,146852,45407,40700,7323,126404,28360,12956,20176,24277,11073,13981,13400,11152,12239,11506,11148,23298,29365,41242,22351,17117
IL-13,IL,13,354205,155882,169885,339501,153479,168506,372793,181169,182249,357584,173512,174412,753983,548225,37185,109125,45129,14079,1009,596623,450005,25629,72684,36498,10453,670,83519,104620,125885,94565,85001,90207,85522,53477,31082,41388,103686,12781,138047,51083,30623,11232,100155,30091,11873,21341,23822,10527,11614,13089,11624,13327,11560,12264,21769,28279,40504,23933,24530
IL-14,IL,14,330370,140809,164858,316399,138214,161465,361172,167808,185275,353585,159769,185681,754203,540531,107707,70757,20057,17471,793,584137,442498,69294,45320,14295,12500,521,87046,104428,99621,90138,89269,102584,94124,56098,31296,48515,87140,4137,155663,37919,48760,7003,120775,31064,10799,22324,25558,11309,11467,11635,11993,11470,10575,10849,21788,28849,39435,23152,14899
IL-15,IL,15,365419,85463,261027,339272,94653,229997,383135,92580,283705,370847,86007,277792,754425,683277,18377,27313,6731,15166,974,592319,541659,12488,19067,4608,11288,646,85650,93224,85373,89472,90176,103639,102079,65711,38813,66914,70602,2837,191732,26508,50663,4938,119297,30017,13407,19396,18549,13679,15099,14121,12901,12422,12161,13173,24855,30986,41304,13856,15450
IL-16,IL,16,348248,148150,174525,328343,145759,167186,366434,166514,191676,353027,155509,188798,753813,588570,54883,76408,19221,14662,1027,589429,478858,35825,49140,13328,10833,724,88658,95257,91408,89775,88884,94707,97967,67549,37131,56351,85792,5003,166043,37378,44666,6608,118604,30529,13737,21307,21772,12065,14335,14113,12786,13522,13121,13717,24395,31500,41617,18192,18180
IL-17,IL,17,347465,111606,212159,329961,111899,201564,376495,128215,240807,367843,120387,239846,753803,623234,58175,46725,9010,15026,714,582306,495632,36770,30521,6261,10923,468,90453,99151,91668,90575,91726,98738,97787,59625,34071,56250,75827,3222,181058,31949,42578,4923,120430,31652,10084,22151,24849,10581,10966,12873,11561,12222,11681,11656,21939,29366,41948,20346,14090
IN-07,IN,7,254036,146394,92219,249586,153295,88147,268365,167002,96378,241401,147180,90374,753271,352904,108867,242650,39274,16296,1185,562447,291677,67892,168119,26223,12038,833,107802,104248,116900,111879,88234,87913,74288,37930,19623,37665,85651,4337,149976,31453,72557,7718,94006,24362,13653,15273,15814,13242,14403,13108,14461,14462,15002,14922,23870,30880,37715,11878,22310
IN-02,IN,2,284103,98772,167502,278961,110003,160248,306458,116568,184308,296201,106670,184937,754079,573765,86926,61854,15128,16640,985,566790,449792,53861,39104,10875,11870,628,98721,111195,99809,92293,87343,91827,89516,53649,28636,39639,74250,5522,170031,31499,67306,6502,96756,29043,10338,18421,18704,9931,11194,12494,12056,12454,11955,12865,22193,29201,40222,15651,13950
IN-03,IN,3,297484,91215,188537,297034,104396,182610,332341,115069,210150,324562,110893,208178,753106,601434,49957,61798,24634,14995,926,567046,468696,30608,39726,15919,10763,631,100289,104625,98398,91680,90041,95416,88877,55430,29060,50659,82609,4027,173248,31259,51300,6077,101242,29673,10849,18972,17898,11398,12142,13280,13065,13470,12990,12421,26237,32328,45075,15380,11680
IN-04,IN,4,299808,109769,171549,297182,125615,161209,328149,129917,191521,313633,121377,186677,754738,627648,38683,36621,33653,15037,3691,600511,506745,26117,24956,28301,11367,3369,80424,110293,137438,89870,81616,87072,87636,53645,27990,45440,80054,11004,158403,40429,42739,6608,94925,28586,13573,17363,17346,11850,16251,15372,13296,12911,13116,12580,24938,28589,41040,15101,19776
IN-05,IN,5,348467,150709,172203,358748,169053,178559,408794,209067,191355,397781,204986,185386,753994,558660,47607,88554,45560,12239,1115,567277,434461,30116,61231,31058,8699,699,99254,102622,95988,110616,103145,95642,79479,45691,23676,37639,174140,11355,86378,73909,21723,20935,81841,31620,4427,25162,36100,5247,7252,7338,7253,8547,8132,8846,18845,26349,38178,52142,8788
IN-09,IN,9,315555,90108,205645,308390,104317,192412,335670,105004,223682,330136,101377,222958,754902,641719,37687,48082,9184,16344,858,589231,512830,23424,32307,6445,12226,535,86582,99877,101609,88934,90001,101910,92380,61543,33142,49198,72213,3494,194777,30681,50578,3761,109506,31187,11930,19630,17137,11817,14276,13276,13666,14549,13003,12283,25308,33456,41533,12188,14458
IN-01,IN,1,312405,165789,128425,306558,173296,125357,339911,181654,152755,326175,161424,159629,753169,446475,125141,156816,14893,16966,807,579801,365970,83271,109942,10673,12242,534,88975,99819,94341,97235,93060,98387,94332,55843,30716,44432,85102,4573,183840,34420,46613,6608,110575,29421,10864,21621,23877,9380,12796,11721,11916,12301,10558,11663,21073,27209,40861,20132,16026
IN-06,IN,6,319267,75485,225376,315317,88929,216120,354387,93105,254198,352652,91114,255489,754859,671041,30219,16118,19009,15774,883,578442,524022,18022,9264,13014,11740,529,89911,101004,91355,93586,94925,104329,92250,58399,29535,47932,79310,3951,194889,35262,50831,5342,101946,32157,10129,21394,22357,10195,10788,12152,11433,11731,10724,11668,20608,31637,45810,18826,12271
IN-08,IN,8,329403,104914,205784,325440,123042,193178,357181,125112,225510,351221,118651,226712,753410,647358,29104,47524,11314,15152,1565,581034,511457,17618,30431,7711,11279,933,90382,97736,92471,93227,92947,99045,97288,59036,30572,56274,82524,3927,184276,33091,49607,6051,103696,31989,11914,20536,21820,10674,11859,12590,13965,13103,11929,13362,23398,32453,41829,16136,12244
KS-01,KS,1,300985,63257,219168,292060,69940,210448,330307,78055,245750,314935,71974,237412,733679,570217,106163,21641,10117,27670,1717,556057,450126,66277,13449,6874,19154,1055,95308,103766,88509,86797,78125,87685,96643,58066,38071,51160,76824,3720,149821,27854,51177,5460,120413,26807,13243,17288,16024,12833,14044,14693,13223,13754,13533,13201,26344,30133,40617,11876,13197
KS-02,KS,2,290123,116172,149298,295758,130492,150898,338112,152903,176443,332858,147210,179057,735181,556655,69265,59069,21979,31830,2607,566575,443740,44878,39376,16145,22356,1659,91156,103815,126260,97066,79351,83329,82150,47568,25530,38890,97390,8977,130828,46663,28161,8075,105008,30488,9665,19651,22555,10377,11338,12389,10721,10541,11586,12776,23373,28466,38586,18704,15629
KS-03,KS,3,325655,154573,142656,333131,172930,144720,381724,212730,161243,370731,205732,158575,734046,487632,105924,74790,48425,19116,1576,553179,387247,67488,51232,33379,13672,984,94669,99841,94781,104205,94991,91393,80207,47224,25633,36900,149390,10071,84900,70398,32955,17286,91826,33580,6909,22769,32564,6373,6902,8941,8497,8295,7829,8548,18796,26596,36969,44208,9363
KS-04,KS,4,276922,93003,159896,278213,105726,158226,322160,126635,187970,309067,119937,183758,734974,508071,101251,67775,31674,32689,1990,553505,402869,62943,44116,22536,22715,1270,94808,106690,99188,95885,85942,86637,86415,48895,29323,44715,93659,4754,129184,40398,46076,7346,116241,27016,11358,19139,19999,10181,11225,14601,11397,11754,11430,13596,22874,29864,39451,16879,13077
KY-01,KY,1,314341,88001,212472,291022,100410,185334,339636,105072,229043,328224,94023,229695,751482,609084,33225,75650,16219,15527,1894,579331,483769,20458,50984,10552,11736,1172,95181,98585,108332,89225,87648,91663,93812,57311,29359,48485,66578,4095,178762,32775,55110,6721,106382,24922,16824,15485,16452,14475,13680,14347,13723,13661,12491,12298,23255,29672,38731,13145,20000
KY-02,KY,2,320587,77126,230204,305073,94370,204825,362431,93941,262766,363556,86589,271960,750951,656886,24980,41104,9172,16570,1519,574421,511166,15129,27242,6134,12523,959,91451,98738,90043,91800,95143,103870,95428,58822,27496,47479,58314,2388,200009,31494,64499,6448,107839,27252,16204,17401,16688,12314,12869,14578,12929,12136,12423,13247,22760,30557,38642,12801,14647
KY-03,KY,3,337818,185592,134586,322369,195058,121386,366996,220404,139703,334154,194688,133321,751872,465718,57907,184741,30961,14627,1438,590842,388118,40369,129978,22005,11085,991,89068,91834,103818,104399,89945,93371,92098,53891,28842,43374,107134,8950,137008,51876,46581,13539,110180,29699,13644,19942,21541,12021,12735,13398,13564,13764,12650,12670,25331,31199,41667,23846,17415
KY-04,KY,4,318972,92854,209097,302168,107643,188113,362328,118045,237869,358979,111327,241629,750875,658238,27301,34919,11327,15644,1313,574691,514352,16542,21747,7718,11457,865,94094,97878,96489,95147,94304,100299,91775,54592,27041,46799,87760,4648,169053,40755,52235,9235,101649,30005,13486,21285,21935,11369,11830,10824,12591,10647,11047,11411,20913,29054,37669,21296,15375
KY-05,KY,5,304612,52384,243388,279025,70554,204415,330257,59979,266272,320514,51161,265533,750058,703634,12436,14735,4122,13390,559,583475,549933,7934,10705,2908,10485,337,87030,96140,88443,89724,94217,104351,98384,61799,28728,41111,41395,2955,203768,25715,105896,6168,95679,19799,28369,11052,9405,18062,17922,16469,16108,13310,11706,11880,21393,24801,32079,6153,26167
KY-06,KY,6,327045,132890,173210,323134,155153,160753,373788,175033,190993,369100,166255,195353,750598,571204,52005,84910,26962,15448,1726,581140,458207,32643,58535,19290,11614,1427,87964,102067,117387,99308,95106,92542,84556,50708,21689,42163,116953,12645,114670,58570,39126,14828,97313,30677,9936,21981,25121,9841,11809,11432,10974,12030,11655,10786,22440,27211,37911,29670,14521
LA-01,LA,1,344142,97748,233622,305801,88037,210760,367605,110743,250799,340041,102130,232533,776394,481077,82988,166406,23695,26536,922,597288,389424,57354,116757,17234,18243,618,96131,97527,93301,104183,90193,101087,98171,59342,29524,36932,86828,4666,179907,31421,75339,9199,108465,29455,14434,18949,21431,13727,13335,13591,12938,11712,11538,11569,21586,27638,38908,21370,19497
LA-02,LA,2,332354,223640,96579,289962,193854,89682,357927,246777,105121,323217,216781,99664,775856,268481,77950,400971,27073,12914,972,605044,227486,55286,298526,21318,9888,717,90487,98606,105028,117543,93548,98685,92959,53109,24540,35188,96374,7840,149554,43892,73020,14271,116525,23652,20596,16922,19728,13912,16388,14499,13402,11733,11909,11336,19764,28423,32943,20587,26857
LA-03,LA,3,328539,74150,242667,291755,65788,220154,343959,81325,256647,330645,75043,251099,776226,546943,42155,153247,17366,16784,1416,585916,425632,28786,106423,12409,12137,943,104324,103917,104550,108359,92034,94166,88336,51507,25295,38774,85905,4842,181768,28595,63781,8109,102496,27759,14012,18770,21731,13170,15240,13541,12376,11995,10218,11617,20805,25239,36232,19971,18335
LA-04,LA,4,346026,119940,216531,301715,102019,194916,355713,125097,225372,330165,109485,216790,776694,442694,33808,269400,12064,20090,1188,597120,353823,23695,195893,8769,15028,757,94431,104714,104405,101615,90035,92539,92866,61180,30774,37650,71589,4193,187295,31583,70746,6838,108897,21599,22098,15477,15904,17675,18992,15193,15033,13505,11587,11916,20521,25299,30780,14834,23703
LA-05,LA,5,334853,186447,138714,296641,161053,129912,351740,198665,147106,315291,169694,140527,775505,307562,33222,413722,13807,10737,763,595060,253986,23719,300582,10763,7894,544,98468,110853,121158,101294,86796,91816,87080,51431,24167,30871,68257,5000,174354,29399,79153,6685,102805,20277,23701,13403,13574,16432,16766,16513,14715,10719,12154,12012,20904,23935,27061,13423,28581
LA-06,LA,6,343118,78229,250525,309805,76730,226370,371118,93427,270731,367616,93737,267892,777082,549945,52426,139373,17831,16067,839,590120,431759,34822,97588,12454,11715,581,100289,105598,100241,106271,95837,96274,93647,54667,25648,36452,110528,6498,152580,41827,52315,11230,110710,30622,10515,21594,27859,10425,11301,10384,10915,10456,11289,10499,20562,25631,36462,30243,12881
MA-09,MA,9,423717,224995,168638,403821,215548,179821,471472,285724,175347,463206,264581,187653,780703,628973,29121,37480,56425,9757,994,642714,529995,20412,26673,43368,7200,759,71336,81624,85138,92292,88105,117691,120242,79480,43445,52668,161514,11762,129649,84794,30587,17478,97544,31633,8118,27335,42467,7592,7956,8693,8204,8034,9551,7304,17231,25246,38453,61472,11311
MA-02,MA,2,351762,173296,148213,325727,163571,153046,389791,216716,162656,381020,196952,174304,780921,563642,105988,60954,35162,12889,1203,623199,469841,72386,41586,26458,9556,860,80362,100261,103555,100135,95393,111775,99880,55932,30578,51167,114659,8825,153279,58435,48740,9129,99399,31064,11639,24988,34711,10011,10338,10423,10113,9184,8581,9385,18393,25392,37465,37732,12847
MA-03,MA,3,399514,226141,142293,374297,213721,151503,438628,280796,147360,419170,255571,152344,780706,564832,58024,38027,96180,7394,898,615621,462342,39799,26069,69193,5492,657,87318,99737,87377,99272,101669,118482,95785,54428,32394,38021,154371,18967,112916,96541,35604,15812,72687,28133,6402,24324,40147,6330,5661,6870,6453,6056,6331,6236,13333,19683,29682,76821,9050
MA-04,MA,4,358414,175745,156504,327822,163398,156870,399096,215050,174902,397735,194175,194731,780874,621248,61123,54548,23371,10961,1033,623136,513440,39591,36719,16650,7827,731,81386,97955,97942,99927,96223,115113,97678,59957,31406,50403,113995,6665,163534,49682,63120,7949,92195,31499,11118,25592,34166,10114,10871,9894,10016,9287,9128,8687,17242,25377,36848,42340,12803
MA-05,MA,5,367286,278649,66400,345673,260490,78525,391080,315060,68092,361930,278316,70370,781758,478767,73761,66156,140904,7274,1082,646026,410993,54947,50867,111024,5508,847,73083,86636,147861,129275,93959,91066,76246,51182,29036,23708,159272,51121,74049,124323,34130,33384,50132,28846,8980,25309,40068,7453,6629,6335,5805,5869,6374,6325,12814,17816,31448,90695,12799
MA-06,MA,6,370665,213901,131129,343225,197597,138001,404407,256141,139510,386110,226702,149985,781922,516384,181340,53105,31064,11681,1268,619571,432641,126047,37592,22557,8497,913,84577,98830,99382,98145,95108,111749,98611,57521,34047,45834,131744,9582,134658,66802,56025,12141,86577,28547,12328,24740,34008,9352,9016,8870,8447,7930,8418,7880,16164,22304,36267,52661,12544
MA-07,MA,7,303453,239484,47469,276827,212390,59356,324840,263272,55444,288970,215668,63162,780562,340064,177003,180558,89141,11300,1491,655983,309356,131082,138468,78634,8842,1224,69861,87792,165704,141110,85998,84095,69556,40521,23696,26571,142631,17528,110592,77906,70690,24751,67348,27433,18275,21981,32617,11171,10068,9332,7750,7354,7454,8131,15501,20625,33201,56646,24434
MA-08,MA,8,380745,237181,115340,358016,220303,129859,420169,291818,118839,399101,262171,125380,780729,499366,59806,110528,77585,8125,926,603747,402890,40727,80013,54573,5953,698,92191,107589,83330,98873,105328,112684,91095,53064,32618,36241,152954,17520,99866,98988,38208,20809,68861,26540,7136,22377,34696,6094,6511,5864,5226,5436,6176,6323,13083,18351,28929,82119,8570
MA-01,MA,1,369195,225658,114772,335227,207582,119475,391676,257466,124969,376426,232382,133374,781742,535621,141519,68510,32652,14659,1541,633726,457487,96517,48326,25663,11061,1096,75676,100295,110176,91956,87962,102770,104503,62950,35225,50267,103180,12159,149356,59846,54483,11592,92181,30832,16877,22684,25267,12651,13742,12635,11879,11684,10927,10660,21379,28162,38558,28669,16584
MD-01,MD,1,381809,136466,222826,350446,129565,210471,415857,173007,231942,428740,172628,243859,772166,561668,43013,128126,24193,15566,1341,608322,459496,27352,92404,17040,11580,912,86719,97946,92062,92956,90252,109545,105274,66660,33567,42908,108157,8164,160937,58049,43232,11786,108876,33948,7748,24486,33408,8653,8390,9594,9226,9772,9241,9295,18489,24845,38536,41702,12486
MD-02,MD,2,351940,196439,133748,326024,182066,133339,377467,236840,131030,376356,230180,133404,772732,410345,56461,210687,85214,13401,1079,598679,340470,36655,152430,61157,10333,751,87625,100799,95708,100609,96209,101575,91478,56653,32930,36295,130185,14600,117533,76681,39509,19541,93713,30597,6613,24413,35749,6306,8314,7538,8050,7246,8788,8639,17118,25008,37365,49881,12323
MD-03,MD,3,370314,160211,184446,343188,152424,179341,411555,210145,189674,422103,210901,197423,771392,522056,60602,135031,38492,17645,1958,594384,419153,38740,97019,26995,13091,1303,94400,101141,90525,106025,98948,110755,89411,56517,26761,39937,123808,9461,131681,73636,34425,11954,109386,32829,4225,28789,43733,4949,5082,5037,5286,5976,6470,5021,14073,20860,34800,62574,8758
MD-04,MD,4,329674,260897,51306,320134,251139,60617,391371,325857,56600,383346,305448,64398,771474,202483,116258,368099,84652,13499,1391,601746,172157,79771,284798,64712,11367,1025,95207,94361,100562,112461,104464,106886,86995,46503,24790,36320,138728,21319,89964,98732,42820,21116,86351,33318,4386,27318,40440,4011,5141,6046,5317,6068,5540,5881,13798,19756,34276,62010,8009
MD-05,MD,5,306677,266151,30337,276002,235447,35077,323033,282783,33815,307624,259756,38966,771711,93701,169497,472878,36369,17562,1477,597094,82139,114489,372663,29367,15860,1132,95285,98192,108135,109087,99107,102863,84056,44081,20254,34047,92806,6542,144528,51086,70732,6407,109048,33136,6392,24495,31314,4811,6100,5545,7021,7568,7473,8117,17510,24555,36982,36654,11656
MD-06,MD,6,370186,136750,207779,339231,132383,195774,406319,180787,213920,427293,186856,226822,772301,573993,60713,77965,45901,15312,1273,604271,464970,39510,57264,31236,11245,818,90682,101973,91280,101447,98006,113370,95638,56655,31303,44679,115577,10772,153213,64989,41674,10599,98480,31430,7766,24960,36841,6922,7299,8025,8086,7650,7285,9114,16315,22345,34738,50153,9853
MD-07,MD,7,313413,255147,42666,279453,223544,47962,322539,271285,44437,314463,255502,48194,771870,218649,60285,442411,43569,11841,1039,613637,190055,41082,342771,36080,9939,831,90902,92354,115303,126146,84519,90990,90619,50095,26674,30761,98323,11727,147197,61666,65926,16087,102485,27249,19060,18978,23072,12315,12313,11910,11687,13007,11155,12788,23179,28377,38073,27228,25610
MD-08,MD,8,357433,265867,70061,332142,241934,80667,388887,304319,74993,378409,281306,82484,771757,330368,162844,129162,144454,11918,1471,597069,272920,114663,93640,109972,10218,1077,90783,101383,88272,100975,102186,106652,89290,53946,33925,27143,145332,36779,67671,105748,45599,38389,64279,26991,5223,24170,36688,4959,4759,5404,5697,4477,5911,5115,11442,17868,30234,83629,7901
