district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-22_total,comp16-20_dem,comp16-22_dem,comp16-20_rep,comp16-22_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_adj_total,pop_adj_white,pop_adj_hispanic,pop_adj_black,pop_adj_asian,pop_adj_native,pop_adj_pacific,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
CA-47,CA,47,273963,184211,72829,,270195,,183110,,81342,342345,232695,101678,301078,188816,102157,757164,204436,321000,63574,163738,23639,9309,595425,174878,236126,47406,130945,18170,7184,89517,91000,96245,107555,106176,101650,83459,46716,26575,37368,135172,6854,104065,49472,83856,11793,97319,27818,6603,20908,28591,6635,7137,8056,6980,7598,7231,6989,14944,21157,31046,47360,9943
CA-48,CA,48,225491,175262,38324,,214170,,163882,,45980,278376,204349,67477,234931,147296,79790,757441,49516,642007,37489,36444,35967,3365,573771,43308,477706,25332,27478,27368,2084,92128,108360,120000,107400,100398,91758,71567,37647,22417,32580,56457,1580,137166,17120,150539,3152,95645,22000,7487,15077,19445,5613,7580,7732,7016,6810,7747,7705,16005,20882,29142,15716,8722
CA-49,CA,49,161912,141590,12223,,156299,,134296,,19003,204147,167541,32034,165234,118974,40079,760786,53391,544128,81562,88603,31522,2699,586584,48852,397598,63486,76775,25356,1446,88412,108899,139106,121784,101930,84948,62085,30181,18042,22910,66670,2937,109054,19447,191715,5118,72245,18372,16415,10937,13474,11403,11639,12956,12122,10191,10712,9403,17570,22254,26365,12301,20337
CA-50,CA,50,239694,189520,36560,,238349,,190723,,42968,301024,232955,61577,260242,185273,64046,759952,183215,414605,34295,131604,26200,2995,614815,160364,315469,26383,111913,22721,2070,77637,86327,122013,134790,103347,92753,76092,45428,29334,32974,125383,7166,106840,45037,136889,14187,82588,23611,15414,17852,22577,8732,10213,10746,10108,9253,8650,8927,17100,22615,34566,32688,15554
CA-51,CA,51,338891,270616,50886,,335134,,270320,,59348,395315,312554,75831,360441,269999,78907,760757,411953,152015,53075,133945,15223,3473,653305,363688,121724,44267,114601,12882,2676,61680,64111,126662,143939,96141,87782,73679,46742,31716,28463,207295,20340,56478,85170,41110,38311,76555,29951,10747,24633,36234,7622,10259,8792,8793,9035,7446,7996,16318,24405,36723,79431,19923
CA-52,CA,52,304315,231855,56387,,305964,,237040,,63601,377302,283151,87212,336966,239686,86904,759329,402150,219485,47121,84649,18643,3123,636495,351033,169907,38837,70065,14960,2291,68411,67306,111931,142084,105391,99779,75312,45973,27717,41770,181007,9588,86485,59731,62192,24456,100529,30604,15046,22764,29498,9124,11184,10320,9855,9398,9315,9166,18743,24599,38059,55427,17809
CO-02,CO,2,390352,248298,107798,,391606,,265875,,108853,436230,312395,112531,416762,296165,108797,724012,528362,120350,15128,41337,19192,2030,587773,446099,83977,10692,31528,14295,1473,65958,95339,134503,103086,89892,87429,78221,45719,20688,36267,161239,19035,67706,81148,23360,15908,80010,30719,7227,24509,33241,7194,8271,7748,8148,8038,8780,8764,17777,23911,37138,48693,13637
CO-01,CO,1,287756,193568,70696,,297296,,211226,,73282,350514,259447,82015,328288,230660,88137,721836,340275,265836,66968,37049,30128,3187,566828,295215,184073,47577,28045,22504,2195,84323,88116,126455,139009,94450,77258,60714,34316,19156,31401,127673,8069,113598,52351,65547,13346,88645,32303,9166,23070,29088,8345,9157,9082,9123,8454,9738,10141,20545,27279,38609,34375,13997
CO-06,CO,6,330536,221264,82761,,333021,,234429,,85283,376094,278161,88402,337558,240489,86995,724824,383808,192018,90690,47147,25652,3436,582823,335430,135072,64637,36121,19356,2396,78920,76492,124180,134140,94056,78763,70480,41053,22133,36640,149906,10107,95573,64637,50787,18596,90250,30951,11468,22431,28656,8600,9344,10405,10310,10942,11965,12659,22909,31881,42136,38082,14359
CO-07,CO,7,387962,184831,168446,,396465,,206173,,173815,448953,253525,183334,432584,244297,176204,720619,506690,112610,35097,49849,21820,2516,560027,411373,76504,23086,35251,15804,1647,80097,89050,83470,108822,99602,93558,86742,51849,24229,40881,160716,10753,90026,73048,24691,13761,97591,32692,3373,28317,38460,3824,5474,5387,5370,6830,6460,6311,15354,23878,36896,53890,6323
CO-08,CO,8,329255,118854,181584,,343121,,137089,,191573,402271,171549,219727,425132,180408,233490,720784,487029,171905,16305,26527,24430,2266,539185,383941,112302,10200,17685,17175,1445,93459,105200,88343,104339,99675,87967,79650,45216,21392,46452,112244,7122,112873,47910,42026,8543,107225,31260,5914,26715,31441,6107,6487,7021,7338,7513,6893,8184,15741,21738,36502,35574,8601
CO-03,CO,3,374535,135726,208728,,378783,,154514,,209041,433714,185911,237361,430567,186041,233302,720610,529982,136747,9750,12433,34202,2201,571663,437873,93975,6377,8608,24844,1466,75118,90154,79433,92173,87041,93353,109753,63207,29582,45039,115902,6916,136644,46512,38178,11359,114615,29533,10947,20258,23747,10805,11021,12248,11698,11365,11088,10730,21861,29384,38563,26401,12565
CO-04,CO,4,355365,128012,198249,,365108,,144306,,206637,423407,180722,232192,434423,182948,240846,720649,503634,138903,25012,33971,24569,2820,548032,396857,95757,17023,22608,17675,1808,87692,101650,87429,93474,101202,97496,81765,49194,23420,44722,138116,6515,101637,57937,27286,9934,102213,27686,6781,23210,33293,6808,6464,6592,6997,6539,6958,6899,14276,20680,31530,48923,9693
CO-05,CO,5,324486,108317,184222,,329347,,125437,,187435,385797,162642,209045,387431,167153,209670,720380,480883,125021,59229,37471,27794,6258,553245,388876,82536,39509,25992,19571,3920,90400,95610,110433,105525,87537,88071,77445,44141,20983,53321,117822,7717,96151,58250,25209,8597,114507,31227,7083,23210,28031,6952,7752,8975,8432,9800,9656,8747,19842,28602,38806,30223,9930
CT-01,CT,1,367846,160997,191463,,346333,,164250,,175009,413203,206462,200880,401284,190278,203500,720199,547453,80384,46037,35325,8735,799,576685,456819,53604,31698,24965,6402,566,74653,90158,79641,85855,90247,112796,95760,59849,37253,41174,123689,7679,136854,74000,35610,14999,86386,30599,5028,25489,35880,6142,8111,6799,6564,6826,7564,7515,13405,20397,33928,54883,8827
CT-02,CT,2,352388,155327,177802,,332097,,158419,,164114,393624,198176,187934,387981,188885,192695,681499,560765,45399,28240,30903,12754,885,548920,465742,29636,19322,21184,9339,581,70759,82347,72988,86914,82100,104469,96277,56012,30282,45302,111726,6682,134352,63027,29065,12918,89865,30294,6151,25396,33219,5672,6867,7121,7767,6920,7119,7543,15716,23336,35735,43783,8250
CT-03,CT,3,295586,181982,101343,,273229,,174392,,92813,324337,211232,108286,309828,193390,111202,722671,387214,156753,139461,41414,15943,1833,577491,334671,107476,101167,31806,11764,1322,74821,94574,104955,91216,84368,95704,90389,53460,30074,35980,94229,12801,143735,59486,48934,16283,84658,27487,14375,19896,26700,10811,11058,10023,10152,10650,9746,9900,18244,26033,35395,34607,14900
CT-04,CT,4,296845,186778,98022,,275124,,174126,,96477,333666,223675,105447,316221,198231,113095,721400,377072,178667,107548,49217,10404,1028,556515,306457,126564,79619,35362,7561,795,81779,98407,90749,90291,94718,105314,82631,47094,28615,27816,134641,9320,99437,79602,53319,22800,65314,22695,8957,16348,26214,7537,7717,7538,6471,7985,7937,6780,14047,19942,26515,68679,11230
CT-05,CT,5,331990,212333,104479,,306591,,198895,,99507,358797,241165,112061,343457,221151,116306,760175,406728,162090,146130,48834,13074,1426,609616,350104,113415,107394,37407,9631,1030,77356,104282,116619,98816,89399,99976,91510,53155,32685,41895,109632,9939,136410,65088,53148,14685,88310,30266,13571,22047,30845,9684,10487,11020,10574,9120,9092,11034,19995,24431,37283,37477,17466
DE-01,DE,1,441052,235154,185062,,440514,,258570,,172762,504010,296268,200603,510775,288933,214262,989948,579851,104290,244944,50969,21392,1547,783543,489226,67906,178357,37878,15627,1057,109968,123481,122674,124265,114864,131642,137636,87953,41152,58540,139213,13931,208129,75033,61344,13180,130994,40249,12173,30916,39006,10775,12267,13820,13903,14294,13700,13210,27203,36164,54374,40197,16749
FL-01,FL,1,367192,103939,243241,,344999,,103177,,232899,423036,139105,275435,422155,129913,285998,768861,533563,59394,116737,35306,25396,3526,605272,436694,40471,82031,25678,19252,2301,91272,94878,107827,104105,90224,100403,94183,60384,28794,62818,103413,6294,142022,44657,42623,8457,123628,31376,10590,21742,22930,9446,10225,11529,12458,12437,11721,11928,23203,31413,41569,24859,12658
FL-02,FL,2,381130,160011,204962,,354171,,154868,,192407,411979,180695,225882,413644,166487,241373,769769,487296,54370,188611,23113,18743,1746,619791,405986,39811,142968,17237,14530,1138,79115,99648,125001,98298,93212,95152,96488,60088,29221,47817,92783,9063,154250,42355,60340,11238,107678,25504,13200,17409,17244,14117,14352,14004,13378,13203,12452,14868,24969,29091,39391,19373,19712
FL-03,FL,3,348201,141355,192615,,331290,,139120,,185833,393442,166656,221964,400692,155689,239754,768986,500165,89374,135367,30807,15696,1355,624115,422645,66402,99154,24251,12156,994,77234,95626,120761,93619,82508,90380,99561,72363,38105,52495,82917,11293,167807,39583,58144,11858,102755,23681,15124,15607,17219,13265,14739,15746,13128,14027,13910,14258,23692,28424,34224,16773,21413
FL-04,FL,4,347908,149097,185613,,333350,,146288,,180836,400986,184174,210921,398894,173153,220180,769684,401114,67458,263130,28694,16926,2427,591311,327110,46251,187236,21186,12769,1611,98306,99821,98089,106897,94564,105812,92689,53999,25183,55076,89591,4277,165984,32809,55982,6679,122729,29016,12588,20393,21241,10139,11796,13590,11891,12138,12257,11747,23128,29702,39867,18713,17080
FL-05,FL,5,359206,131442,210175,,350158,,132030,,210801,428163,177045,244534,439399,169179,263045,769649,498040,92755,107527,59062,14877,2343,607131,410004,65850,77568,42695,11088,1655,88076,95498,103992,110299,98297,98265,89687,58031,28574,50170,150983,8260,120102,60556,32087,15161,99695,31965,6640,21741,29843,7619,9381,9416,10430,9352,10930,12679,21433,29559,40070,38947,12022
FL-06,FL,6,367182,158798,191911,,354196,,156710,,190114,430201,196805,228063,437485,184860,246727,769663,490966,128386,109002,31737,15258,1518,626863,420448,93165,79801,23792,11796,1076,76058,87743,92751,95946,94968,105192,108029,79713,42038,64534,124071,7187,148993,48193,47492,15309,118873,28996,10671,20022,24638,10673,11001,13150,12876,13135,14102,12007,24305,30797,43651,29447,15455
FL-07,FL,7,357432,168467,171006,,337571,,161492,,168194,409384,199086,204649,397138,175843,215180,770134,432518,201117,93218,40244,16340,1917,620366,367718,150012,67066,30674,12512,1376,77160,89287,114010,101492,92163,100670,99193,62364,33747,69416,115136,7043,146576,45424,42246,9011,110085,31436,8760,21363,21019,9356,11419,12024,12143,11634,11118,11538,24559,31484,43035,22355,13079
FL-08,FL,8,385514,157884,207241,,367829,,156026,,202563,437536,192599,238636,435080,179184,249275,769495,499260,127032,94721,37087,16930,2196,626392,425795,93566,68012,27974,13047,1597,73506,96155,96809,90246,91146,109013,108030,73586,41249,66603,118895,7553,143415,56848,42749,8794,114738,31031,8816,23237,24306,10232,11406,11597,11181,11327,11099,12138,22461,29840,41572,25969,11722
FL-09,FL,9,301164,150305,139366,,287753,,139899,,142370,363877,176705,183088,361876,155066,202122,768696,329768,310789,95134,33330,14241,2045,604547,280410,228948,68223,25113,10920,1493,80995,91702,93596,98828,99977,97339,89742,64232,37346,56633,104692,5009,152496,40469,60578,10073,105714,24425,10144,16273,18376,9329,12216,11344,11570,11410,11717,11518,21881,28356,36048,18140,11177
FL-10,FL,10,341446,149638,179096,,328127,,146784,,175099,396770,181440,211099,396303,167578,224081,769690,437682,126473,173453,22411,16003,1821,619142,378127,90828,122781,17572,12488,1342,88286,90684,93401,103386,91454,100640,103968,84182,43859,59085,92253,4834,187316,38899,74685,7671,114783,28921,13737,16956,18643,14130,15734,15436,15844,15346,14980,13685,24587,33277,37928,18098,16723
FL-11,FL,11,335907,142091,181553,,331186,,140514,,184238,414852,183781,226971,433644,174539,253606,769531,451748,134569,121711,39305,13324,1690,626220,390119,99056,89201,29610,10419,1236,74012,78182,82997,94944,91412,90668,103060,97245,45171,60636,119880,6398,154810,50985,49055,12377,112807,30310,7882,19267,20880,10167,10791,12724,13221,11730,11398,12291,24250,29709,41711,25956,13903
FL-12,FL,12,328202,150298,162867,,310667,,143212,,160109,385702,177167,203375,370458,151457,213906,768461,422194,219433,86566,36598,14940,1636,610997,354055,164150,60795,26909,11377,1125,84921,88783,89441,106611,100947,105184,96026,64028,32714,53467,109074,6126,173320,41415,60158,10481,100267,26133,14316,16390,21066,11910,13931,14406,14337,12964,13113,13879,24429,29161,37445,24332,16553
FL-13,FL,13,402806,173552,209559,,381349,,169714,,202458,452013,205633,240532,419457,179913,233798,769022,574710,86494,57079,35620,14898,1714,651968,507410,63261,40192,27460,11814,1208,62751,70005,79795,86815,84631,115277,122951,91408,57554,61172,131788,7448,163954,50896,46126,14174,126072,32619,11810,20073,25449,12449,14954,13576,13545,14030,13982,14552,27081,32304,42820,28913,18145
FL-14,FL,14,320294,145304,159072,,311380,,144661,,159737,393786,192144,195834,387199,174139,207286,769223,399312,203697,125365,39103,16311,1897,597258,332366,143770,87826,28829,12387,1351,89930,98935,101526,113532,103784,99711,78914,54978,26100,51618,123826,6940,135710,51252,51096,14075,98473,32588,7716,21925,26326,7759,8992,9583,10879,11196,10555,11035,19857,28492,39820,33392,13272
FL-15,FL,15,330586,147313,168643,,315698,,144386,,164018,390175,179450,205647,391066,162327,222077,768323,437689,145528,136576,41835,16196,1706,608403,368996,104009,96897,30763,12058,1141,84443,101534,106376,100106,93607,98110,94916,70952,37975,56884,98859,6932,159533,41944,58720,8905,113984,26713,11113,18486,20896,11356,13012,13602,13004,12608,12719,12915,25083,31386,39749,19699,16647
FL-16,FL,16,361209,162633,182625,,351246,,161721,,182090,430494,201782,223712,442673,187717,249452,768450,521941,104940,104861,24059,13482,1269,632476,454282,72934,75721,18207,10489,879,70485,77176,82508,84084,87504,105629,119154,101236,50300,55743,120942,8478,169123,52518,49091,13703,121392,30251,10084,22228,24757,11029,11924,12988,12666,12785,13771,13897,24933,32663,41501,29316,14206
FL-17,FL,17,364484,150492,200995,,353176,,146743,,199979,431958,184541,243505,440175,168040,267358,769514,543455,132932,63604,17171,12492,933,648315,485097,94853,44067,13216,9717,661,61680,76788,70119,76833,78174,103136,129341,118788,70957,57221,112828,8558,186424,52810,55189,14681,125667,33150,10642,22285,21781,12362,13728,14107,12938,13314,12015,13322,27566,35007,49141,28892,16173
FL-18,FL,18,293778,137795,143697,,279330,,130276,,143077,356370,168647,183251,360170,155096,200484,768839,363170,247187,133976,22285,16734,1679,596543,305582,175500,94369,16819,12662,1237,94801,103989,102539,106370,95853,91185,88412,65112,31243,52844,82428,4566,173314,30553,67372,5629,114018,23345,9627,15729,15001,10160,11934,12277,13221,11653,11273,13324,22121,30668,38649,14626,14411
FL-19,FL,19,292562,148187,135359,,277945,,140336,,133325,342064,169220,169831,339921,146679,189345,769705,334069,266869,142524,23716,16230,1360,603510,286738,192302,102777,17928,11722,1023,84861,96400,90166,99079,97857,100326,91279,66213,41562,50729,90459,5430,158205,34591,93926,11562,97396,24773,10841,17661,18424,10718,11571,11791,13193,11254,11762,10857,20743,27803,36005,24099,15236
FL-20,FL,20,320117,239049,73244,,300091,,226351,,70105,361700,266612,92287,326978,222073,101042,769465,203369,186075,350134,29210,8707,1539,612399,181906,145284,258542,23290,6898,1215,87903,89207,99346,108908,97201,101403,94490,59557,33872,55180,101520,5186,161630,40061,71553,9161,106849,27946,14602,17154,18924,12749,13945,14341,13539,12646,13200,13826,24566,31053,38507,17141,16274
FL-21,FL,21,361043,167404,181283,,348468,,167019,,176261,423999,203327,217038,430272,187301,238007,768471,453771,131252,153389,22121,12903,1400,624859,398207,92186,109813,16649,9641,1041,74521,82866,82430,87066,85018,104815,110937,90849,55301,57954,122519,7794,150535,49278,55501,16284,118026,30686,9678,22353,22145,10581,11481,13276,11595,11408,11001,11924,22828,31150,40797,34512,15782
FL-22,FL,22,364368,172858,181454,,356042,,168231,,182856,431154,210701,217350,420275,185931,229661,768459,495045,146081,96336,22684,9941,1105,646313,447600,104838,68414,17372,7508,850,63295,70426,80699,82120,74854,95556,118270,117078,69612,56407,131114,10455,154402,59967,51858,18317,116591,33271,8519,22746,24908,9267,11423,12557,12600,12737,11941,10811,23954,30778,42576,37487,14670
FL-23,FL,23,366269,179431,175978,,352248,,172193,,175305,430384,213428,213658,418355,182034,231196,769339,474658,149951,85338,33494,8222,1083,632812,412099,112194,62094,24996,6245,780,72602,87452,74837,81267,90283,106478,104536,88133,61938,48058,157857,11184,118805,70312,39011,24938,98852,29628,8250,21600,30454,10174,10144,10279,10517,10596,11216,10175,21944,27085,38791,52239,15730
FL-24,FL,24,298320,246562,45054,,278232,,226691,,48286,337453,261853,72994,299673,206802,89256,769743,90043,281249,390637,25066,7696,1167,605678,76200,224479,297058,19782,6006,942,96761,94565,107890,117521,106021,99972,86202,50617,28745,51377,88664,4641,178304,35598,84545,11993,90751,21637,13609,13150,15463,11539,14422,13047,12327,13194,11842,13183,22047,28601,37094,15757,21444
FL-25,FL,25,345464,177362,156956,,325347,,163082,,157472,401570,198198,200175,384400,163772,215930,768751,349236,307310,74453,34657,10175,1253,623313,302439,236487,54603,26006,7767,925,75350,90882,84524,89972,103618,110680,97646,75087,42736,55774,134264,8909,134079,59118,48717,23918,96766,31733,8461,21747,29471,7768,8479,10548,10456,9974,9308,10394,18964,25348,35449,43352,13062
FL-26,FL,26,253408,150299,95794,,229083,,119474,,106334,294687,138192,154538,276000,104028,169360,769817,61455,645495,64948,13796,6360,610,628914,43440,536805,51851,10828,5055,492,74558,83734,93723,104280,112768,115816,81866,55275,42107,50406,101523,5090,154981,38461,121889,17183,68315,21437,20277,13987,16736,14246,13855,13323,13590,11189,9962,10599,21150,24954,34137,18209,17234
FL-27,FL,27,317168,176586,130213,,297266,,151037,,141882,372235,177698,191892,352757,140714,208042,769582,188772,521774,33719,21808,6045,694,640973,154303,438112,28055,17898,4791,572,71389,73567,91211,104874,101793,109753,88264,60634,41421,50150,148623,11866,111319,64717,64540,29652,75048,26358,13170,18282,25188,10594,10952,10940,10840,10289,9569,10182,19469,24656,33784,46799,16222
FL-28,FL,28,285054,166822,108312,,266526,,144302,,118006,344898,170361,171869,339327,133524,202585,768865,125494,529256,105836,18686,9419,825,603351,100924,417161,77792,14627,7306,612,89870,102261,93509,102268,108452,111763,77840,54321,28786,56763,103338,5512,149390,34300,85599,11047,85728,25630,9164,18369,22387,7749,9906,8737,9626,8808,8875,8266,17189,24553,33929,20396,12702
GA-01,GA,1,270797,115050,147702,,282435,,121491,,156057,335648,150212,180575,363146,158843,202200,764902,430040,58320,241094,24637,16018,2771,590887,349387,38964,174349,18459,11769,1783,96148,104978,121156,106215,90561,90348,82483,52627,23870,43403,90613,7053,146122,40375,50413,10192,116273,27338,11168,19650,20604,10546,12994,14439,10955,12084,10909,12103,23425,29004,38877,18893,16889
GA-02,GA,2,265112,111875,148075,,266557,,112188,,151487,308947,134466,171644,312594,130324,181052,765320,384598,58014,299174,15776,13933,2122,583372,308681,38271,217856,11301,10275,1403,99273,104403,111709,101244,88659,90992,84495,52065,27377,46569,63150,5351,165943,29836,74986,7880,105153,21417,18446,13692,12341,16394,15678,14876,15293,12375,12662,11598,21950,27403,34305,11791,24794
GA-03,GA,3,324175,119761,195422,,338467,,132451,,200617,394344,165085,224772,426277,183531,240155,765361,428530,47399,254457,24161,15084,1089,585028,343321,30972,184351,17085,11216,690,90159,110715,96968,94792,100553,107756,88293,55662,25415,48028,93561,6094,159832,41185,51296,9767,109908,29637,9048,21428,23883,8899,9799,8496,8924,9894,9975,9371,20462,26962,39913,27591,11741
GA-04,GA,4,298710,263313,28965,,313285,,276789,,32410,355189,316209,35623,352313,309523,40070,765130,120279,64741,548616,34249,11757,1052,587619,103135,43121,415480,26352,8742,751,98023,104568,109741,113756,99831,99707,78625,41986,16961,46485,99371,10052,138917,47583,52151,12188,102673,25949,9512,16917,18461,9945,11728,11642,12481,11471,10848,12789,22669,27310,36120,20513,15289
GA-05,GA,5,284729,246675,30748,,298226,,258907,,34832,341052,299809,37685,352064,306940,42138,764313,149369,62323,527907,26245,11187,1077,603628,133943,43793,403077,22376,8605,821,90790,97405,138678,129466,101375,87826,69472,34509,16045,40102,127014,9061,121747,62029,47632,15154,88875,28143,15321,20365,23931,12117,12472,12167,12534,12649,11363,12821,22607,28410,42021,30463,22928
GA-06,GA,6,293059,105694,175817,,314163,,119268,,188134,376830,157353,214487,398790,158585,235916,765794,451347,109825,81116,110462,17161,988,579442,359449,72671,60154,76895,12226,672,91797,106986,84203,96782,116096,111939,80853,48891,19465,35423,152114,11645,94552,80300,47697,15230,80285,27183,6064,23380,33196,6389,7964,8997,9043,7607,7742,8532,15072,22530,33291,55389,8784
GA-07,GA,7,258858,97715,151395,,274912,,110024,,158730,329786,141984,183165,347843,142290,201964,765328,346417,180315,128577,103474,18851,1228,581574,284803,119723,91718,78884,13653,835,97559,114772,104307,99366,102783,101921,77476,46908,20350,42611,113979,7029,119677,45418,70226,10983,88591,26123,7000,19669,23632,8107,8626,9785,9703,9771,10722,9530,19302,26945,34778,29395,10412
GA-08,GA,8,294256,124335,163792,,300402,,127352,,169539,339423,149291,186704,349755,151257,196973,764409,382403,42469,314628,17190,11889,1161,587325,309757,27792,230417,12558,8922,792,94205,108170,100734,98299,93039,95811,91665,54373,26916,48308,65125,5336,171022,34017,68724,9600,107194,25484,16593,16018,17150,13528,14511,13636,14190,12194,10722,11036,19665,27291,33251,14272,21951
GA-09,GA,9,285242,110230,165577,,305293,,126848,,172284,365002,163268,196880,397079,175862,217843,765600,383629,108881,208038,57922,16564,1155,568581,305867,69885,144791,40898,12023,736,99560,121499,93876,99513,109674,105700,80198,48102,20001,44341,104977,7974,137338,41777,62473,8641,102013,29174,6559,22373,25330,6456,6511,8792,7819,7996,8982,8228,17838,23782,37582,24660,8736
GA-10,GA,10,309359,124599,176184,,325176,,135330,,184803,377997,165305,208310,408034,178644,226890,764980,442774,54589,236739,18899,14686,1211,594337,362018,35522,172462,14235,11099,800,87521,110493,111149,90874,94733,100741,88901,58318,24241,41424,83011,9388,154375,41806,59048,10346,106743,26637,10343,18766,22053,10879,11887,12411,12267,11428,11849,12185,20441,29058,38759,19916,16205
GA-11,GA,11,306002,108166,183956,,322612,,120554,,194208,380067,158994,215227,402035,165703,232424,765299,493124,127392,83598,47293,19118,966,587666,395407,83763,62292,34744,13804,726,94864,105270,94122,113258,107000,99220,82082,50042,24254,34084,156008,9039,100439,68377,50467,16835,90240,30159,6209,23010,31249,6971,8256,8961,9790,8683,8875,8019,18704,25295,37353,53283,10658
GA-12,GA,12,289708,124468,158902,,295790,,127667,,164366,340365,153344,183246,344929,150015,193311,766071,389456,45685,304355,19498,12714,1941,589472,314256,30541,223778,14343,9396,1231,93823,108555,105503,98587,94636,95167,89452,53901,27325,48585,65919,5839,174744,29841,73319,9394,104290,23055,15806,13526,15774,14880,14162,13700,12496,11437,10277,10637,19825,25327,31315,14479,19620
GA-13,GA,13,302025,118297,172930,,319305,,131050,,181848,377849,167433,205323,400879,178089,219910,765251,457995,83625,185707,26442,16846,1091,588451,367748,54610,136015,19954,12566,717,92427,101447,113315,109042,101777,99465,78846,45993,19652,36455,120838,7103,132500,53341,48974,15413,102963,30205,6973,25634,27577,8792,8002,9033,8804,8954,9619,10085,20069,27853,43723,36129,10625
GA-14,GA,14,310341,107785,189639,,320891,,118389,,194901,375983,151754,218196,394328,158411,232271,764150,502195,79879,124140,39396,18233,1168,592892,404561,53290,91246,28500,13589,771,89007,106206,100476,99428,102126,103614,86101,51732,26170,38821,128909,7716,126088,53419,51233,13511,99138,29580,9395,20795,25388,8578,9393,9423,10196,10973,10998,10050,20330,24634,36080,37320,12560
HI-01,HI,1,208431,131565,63534,,208445,,138600,,63745,279671,178661,96350,248838,153038,91497,726395,107302,56401,26105,495204,16141,153851,585659,94213,38697,18240,398963,10962,104993,78728,77303,98321,103704,89562,89927,85412,57975,42253,59273,126695,8712,124231,47969,41195,14510,98879,27877,5948,22228,30841,4933,6450,5543,6174,6590,7073,7395,13602,20472,32257,42362,9964
HI-02,HI,2,220506,135326,65313,,222658,,145579,,68446,294798,187469,100514,267863,160006,102164,728876,207063,82522,20678,328939,25387,240251,570246,181411,54410,13744,247592,17167,159458,90807,89344,92061,96280,85223,86202,95813,62219,29455,53787,100548,7505,148596,38015,33398,11029,108187,25999,6655,20143,25916,5491,6809,6419,6938,6479,6880,6763,14101,19967,30536,34519,10582
IA-01,IA,1,406606,179518,197501,,392308,,177721,,201488,433884,202481,222498,421161,184915,228909,798070,686904,28447,49766,15675,13301,3161,616313,545455,17567,29879,10713,9147,1926,95816,105901,104314,97350,88905,100489,102744,62200,39007,69133,103304,4956,177323,34615,33366,7952,108049,34712,11815,23661,23737,11956,12740,12053,13750,13101,12945,13681,25536,33187,48478,21275,12538
IA-02,IA,2,391733,171522,192719,,376058,,171607,,192447,419048,193994,216604,413185,180550,225154,796914,660573,49226,47796,23261,13872,1662,617818,527443,31673,29025,17036,9915,986,94385,108362,112149,99095,90670,96038,99163,61770,34626,60150,102542,9462,164112,40644,36735,10385,107143,33835,13706,23008,22818,12090,12637,13078,13027,13451,12690,13185,26096,31800,43431,21713,15945
IA-03,IA,3,384707,169232,187319,,379088,,175007,,191383,424759,204095,211844,422138,195438,219357,798112,638078,61604,49672,32261,14472,1347,605501,503167,37807,29883,21720,10179,834,103265,107583,103266,109276,98927,99718,91904,54759,30599,59947,122857,6372,153510,39317,38107,9817,109570,36509,10360,25237,28245,10505,10154,11323,12563,12039,11991,12336,24293,32163,45954,26802,11724
IA-04,IA,4,382985,133397,223444,,372634,,137415,,224017,413180,158491,246726,407022,146375,253599,797273,652646,76709,25754,25664,14313,3903,610471,517704,47057,15349,18481,9476,2882,98998,111695,111728,97714,88268,93191,98037,57525,39399,65951,104677,6839,157847,33713,40437,7877,104493,34988,10973,22640,23718,13108,12861,12248,12707,11772,12152,13681,23771,34294,46054,21962,13337
ID-01,ID,1,344543,86263,221000,,361173,,104984,,242354,447601,132143,302954,482396,126546,343895,919553,735930,108783,11407,21566,35261,4623,692128,572254,68233,6356,14311,24703,2781,117745,131521,110813,118844,114614,114146,113994,77019,33002,61932,119899,6898,171986,40723,52884,9961,163875,36628,10462,25748,23823,10956,12817,12048,13736,12554,12913,14446,27109,38638,51817,24545,12493
ID-02,ID,2,345881,103499,188058,,349461,,125093,,206911,419680,154878,251165,422665,148413,261355,919553,714593,130624,16238,25947,30291,4670,684272,549212,83467,9691,18051,20822,2945,120231,146463,135614,120040,110218,99151,100007,60808,29879,57679,124473,8509,147192,45037,50836,10723,139689,32171,12144,23178,24193,11777,13383,13728,13634,13640,13639,13769,28536,35115,48889,24427,12367
