district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-20_dem,comp16-20_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_adj_asian,pop_adj_black,pop_adj_hispanic,pop_adj_native,pop_adj_pacific,pop_adj_total,pop_adj_white,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
NC-05,NC,5,361478,148539,199157,384842,163417,212810,400898,167125,228735,408268,165404,237629,20317,146858,59024,16024,925,745671,507354,596194,421313,38431,111648,14529,12141,654,77287,100920,101749,84645,89467,101135,96902,62582,32564,51798,83916,6619,148605,35934,70977,6469,109036,25274,17408,16947,15494,16231,15145,15115,15389,14052,14171,13762,24338,26686,36936,15349,18359
NC-06,NC,6,328056,125701,189948,361402,148273,204594,381619,157036,218933,391691,159349,226292,31495,153914,80826,18475,1005,745671,466399,578293,382738,51069,111667,21727,13484,634,86956,100124,96006,92734,95039,102273,87182,57692,27383,51073,98260,5788,143295,36491,58145,7505,109486,27869,12472,17924,18944,11386,13264,12720,13344,13166,14031,11892,23255,28143,40600,18351,14485
NC-07,NC,7,347162,145404,188896,389123,170926,209262,415809,182076,227833,443202,188294,249694,15766,160874,61609,34276,2172,745671,478702,593673,400999,39354,119140,11043,24895,1379,82119,92200,95819,88946,90749,96967,103242,72396,28611,58147,106248,5930,138337,43067,46523,10477,118303,28649,13695,19331,21178,12384,13311,13281,12216,11539,12529,12113,25172,29538,39758,20446,20006
NC-08,NC,8,333489,125654,194792,372257,148845,215214,397224,160781,231187,409708,162358,241622,31786,137312,69986,57697,1013,745671,453271,563332,358376,44048,99678,21043,41818,685,91489,111103,87003,90457,102950,104491,83779,53305,26479,49136,111894,4832,130202,42880,56073,9077,99294,25208,10277,19553,22747,9532,9662,10340,9846,9802,9044,9600,17079,23235,33666,32496,12947
NC-09,NC,9,316101,126298,178638,350917,149080,194283,372135,157604,209219,382677,158552,219095,20803,177432,94277,25877,2651,745671,437637,577673,359252,60786,129182,14884,18440,1736,92588,97957,107757,97911,85800,96089,85803,57287,29277,56209,91085,5143,138847,34382,54390,6364,117810,27562,12782,16994,18039,12237,12326,13077,13884,13263,13014,12120,23881,30751,38634,16799,14858
NC-10,NC,10,340665,134426,192722,376098,154379,212684,397624,164108,227817,416353,168702,242192,24131,130655,84946,17568,1131,745670,493055,581822,404468,53640,96473,16563,12711,767,84585,102184,95018,90424,94065,104891,91292,58215,28943,53076,101994,7586,142266,36877,56929,9791,106458,27030,12078,17571,18820,11919,13350,14271,13689,9999,14109,12359,22738,29450,39820,23784,14768
NC-11,NC,11,373237,148019,207561,410882,178627,222117,433723,189678,237270,441237,196314,238078,10934,33066,57087,29250,1914,745670,613832,609924,516985,37835,23682,7822,21489,1302,69673,82147,84569,86695,91564,98971,109569,82461,40333,56541,113562,7845,148201,51329,51449,12328,111512,26877,15809,18693,16968,14275,13534,14383,14954,14433,14098,13004,22946,31191,39590,18899,15042
NC-12,NC,12,301193,213377,73884,334024,240913,84314,354216,262589,85342,355661,254946,91834,48891,295073,131029,15630,1213,745670,267498,580319,229032,87967,222293,36903,11502,852,95460,92002,133345,128538,96483,85019,65394,33298,15953,41165,141324,5577,88947,56613,56587,13462,96395,27885,10338,19711,22379,9451,10755,11695,12733,12525,13334,14117,25845,33019,38539,30526,14451
NC-13,NC,13,314339,119692,182050,361944,147596,205976,389550,158090,225136,425637,174774,244879,13969,149850,97421,19679,1678,745670,470899,562248,372444,60116,109385,9134,13717,978,94146,107202,87346,97196,103200,106156,86027,51995,22354,61126,100647,4963,135757,36326,55338,6604,110429,30129,9894,21575,24027,10138,9305,10968,9424,9007,10078,10077,19675,27764,37219,23337,11549
NC-14,NC,14,329755,123066,193665,370642,150130,212150,395579,163301,227009,409053,171063,232469,33737,128834,64454,17461,978,745671,504554,579505,410318,42164,92298,23232,12850,648,87983,95726,86667,95360,102332,105757,89620,58035,25911,55031,114917,5020,132197,46914,54470,8119,105753,28060,11338,19465,22751,11218,11239,12351,11673,10654,11574,12417,20289,27248,37170,29534,13512
ND-01,ND,1,344360,93758,216794,337384,98083,225714,362024,115042,235751,368155,112327,246505,18675,34499,33412,55777,2086,779094,636160,596093,503153,21603,21444,13192,35031,1361,103358,104054,120021,108904,83712,86928,86967,50116,32814,72298,113131,5710,132137,33064,32907,7189,109820,34919,11619,25356,26887,11178,11278,12309,11189,11145,11669,11621,24520,30577,44389,26742,14640
NE-01,NE,1,271143,101993,151680,259731,104881,147409,316213,136856,171834,318301,136153,177663,25567,33246,71208,16109,1381,653822,509174,495560,401792,44433,19981,18138,10566,898,84025,92163,102511,86187,74856,74466,73076,42164,23987,50099,95507,6854,101912,38502,29358,7224,89696,28346,6984,20259,22211,8070,8638,9696,10790,9561,10053,10926,19659,26121,37037,19636,9826
NE-02,NE,2,265036,122402,127556,257031,121150,128826,313187,163346,143563,316693,163541,148908,35895,78430,83564,17015,1391,653847,443338,484492,348415,51311,50868,23937,11089,922,92983,92677,88169,96864,81726,75423,67767,37817,19410,36070,112517,7229,88027,44472,34371,12776,90320,29096,8748,19561,24002,7403,7901,8417,9497,8161,9318,8611,17266,25358,33148,28721,11238
NE-03,NE,3,291997,60099,216725,268242,61283,201755,322312,74381,241449,312165,70301,238245,7544,13097,79943,22136,1297,653835,532175,496075,419048,49553,7803,5269,14009,807,83316,91944,75747,75759,71270,78252,86817,53660,35903,53118,72077,4077,135934,23163,40568,5032,104382,26998,11203,16433,17015,10864,11709,11972,11303,12004,10874,10843,21594,28469,37133,12116,11590
NH-01,NH,1,372167,170707,176898,389622,171723,206973,403198,210310,186410,413940,208186,199942,22820,17875,29821,11912,915,688764,601086,560816,499334,19760,11525,16617,9099,624,66532,80725,91014,87291,81001,104500,93924,56027,28594,51869,122958,6951,128384,57433,29839,9142,89005,30779,7782,24549,31791,7016,7415,7559,8016,8173,7486,8400,17628,24096,36624,39836,7888
NH-02,NH,2,372129,177819,168892,387691,179519,197029,400635,214627,179250,412249,210302,195581,24041,15123,29633,13556,877,688765,599563,559864,496417,20040,10247,17205,10205,591,64947,81371,83483,83853,83336,103406,99350,61032,29224,48672,113231,9991,142590,58945,31885,10797,85661,30602,7552,22601,31239,7745,7970,8477,8762,8338,7397,9409,17230,23273,35018,36328,8137
NJ-01,NJ,1,339091,203453,124314,295139,180873,108076,402401,247673,149308,377328,220362,149993,48631,149917,115580,13847,1402,773585,459821,604707,381282,76390,107906,36302,9840,979,91307,96279,103298,103878,94984,104769,93471,53416,29156,44033,114589,6548,160694,47354,48847,13245,97267,30746,10197,25179,32285,8002,9388,10228,9653,9276,7825,9300,18341,24733,37648,36545,13647
NJ-02,NJ,2,342600,153433,177679,303242,140199,156048,410267,192116,212723,376636,160517,209709,35010,106165,134110,16672,1509,773584,494194,616758,415583,91163,77944,26215,12116,1032,83965,96534,90976,92625,89523,108676,109208,70211,36222,43063,104194,5072,188541,41698,59337,10327,98966,31455,10811,23484,29426,9101,11755,10951,10987,9935,9802,9653,19963,27082,38054,34151,12744
NJ-03,NJ,3,369116,195590,160578,328184,177465,144280,440507,248448,186277,385350,204031,174088,75966,113155,87333,11462,1205,773586,491248,614191,404599,60160,87116,56304,8355,861,82004,98150,92329,93470,102409,116727,98071,58731,35310,42081,153732,8642,132639,70509,34000,15538,92377,32438,4550,24971,38431,5208,7064,5992,6398,6703,7262,7267,14334,21363,34673,62862,8552
NJ-04,NJ,4,348975,120268,217894,314584,115960,192347,428872,163477,259866,403670,136916,259999,25309,35144,79615,9370,710,773586,622261,589130,482913,53575,24859,19149,6746,499,105168,100842,86609,83212,81895,100128,102599,72399,42132,41570,131264,6272,152545,55039,31902,12343,94036,29416,6524,24238,32483,7658,9288,9299,9646,10297,8477,8891,17787,23386,32557,49660,9554
NJ-05,NJ,5,364588,190410,162315,322139,173600,142137,432502,240337,186713,393138,195238,190272,133911,56183,125578,9046,1034,773585,457907,610580,373723,91062,42867,101764,6469,804,81906,100083,83543,87613,103033,118303,99435,59616,38732,35152,173559,11720,109902,81169,30147,25301,78889,27286,4970,24908,38851,5502,5629,5740,6448,6110,5907,5642,12071,18286,28333,79771,8070
NJ-06,NJ,6,290786,168248,113095,250095,145394,98940,334105,197763,131984,317497,163739,144525,157258,102923,189896,12083,1179,773586,323138,611210,276011,134818,77733,120399,8782,912,88178,100313,108570,107036,98538,104449,91189,47140,26672,36219,132461,8392,131889,66217,58129,12109,82470,30011,8315,24563,34426,6965,7806,7118,7077,7734,6817,6446,14276,21623,34783,47710,11090
NJ-07,NJ,7,388097,175248,197287,350711,163809,178584,462052,235720,218813,438977,210218,218352,74242,48691,94192,8849,863,773584,547950,609441,447713,65743,35818,53000,6405,599,82325,101960,80720,88510,102862,127182,100408,59748,32605,36496,170507,13270,115206,90064,26298,20705,76310,28388,4431,25088,40417,4653,6365,5603,5236,5580,5740,5688,12407,19389,31024,84573,6905
NJ-08,NJ,8,216168,163542,46366,176772,134021,39106,239751,172263,64970,217048,135768,74966,99570,90811,394709,17962,1738,773584,192335,611790,164003,299470,68409,81566,13668,1364,92828,83030,118957,146150,105735,90491,66103,36389,21660,24019,124036,8802,143093,64505,93513,12718,67235,25539,14207,19521,27810,10051,10487,11760,10234,9430,9268,10478,18486,25399,35478,47626,15348
NJ-09,NJ,9,271851,165009,99667,225835,137288,83916,315008,185789,125877,273696,131176,134622,77759,88057,321423,15691,1314,773584,295557,601128,245792,234804,65585,60860,11499,959,92272,96534,104623,107903,102131,101838,83537,49799,25745,31635,112093,5560,165042,44881,73848,10066,82245,27509,10454,20105,27742,7828,8827,9656,9511,8390,8080,8599,16477,23166,32285,40754,12510
NJ-10,NJ,10,265683,217131,43223,221244,180562,37271,292250,236302,53598,254100,185281,63876,55759,413874,164996,11889,1514,773584,145060,597968,121366,120022,315201,44871,8731,1171,96719,98255,109319,111497,97951,100351,77826,45225,25808,34068,103955,5444,158012,44104,66642,8973,94880,25371,15538,18666,23597,12029,10146,10056,10948,9797,8504,9466,17687,26755,30745,30203,22237
NJ-11,NJ,11,369254,198538,158881,327047,181866,139076,437004,252518,179005,394595,208082,177521,103444,62124,127683,8804,906,773584,476809,609524,390025,92745,47561,75748,6346,669,85799,100655,87338,92829,106123,113554,92807,56749,34549,30220,175172,14590,99596,95915,28538,26039,66998,28239,4012,22307,37670,4150,5069,6305,5286,4873,5481,5936,10754,18782,29522,86392,8231
NJ-12,NJ,12,307837,197408,100634,268282,171848,90727,354634,235929,114140,330374,197885,122377,160007,139348,166222,12190,1245,773584,308278,604883,263386,116047,106823,117700,8700,953,89523,101633,93980,97170,105618,108639,88777,52159,31133,31507,140746,17265,117466,83795,50540,15069,73333,28599,8599,22308,33699,6058,6447,6438,6428,7428,7715,7467,13955,19041,32628,61204,11032
NM-01,NM,1,309924,146886,122247,321512,174841,133746,359119,201152,149216,353679,194852,150029,29953,29771,288643,56141,2555,705832,321344,564033,278556,212166,20639,22125,40712,1748,73972,85367,92019,95669,83924,88650,96859,59478,31679,46788,104390,13494,109112,59549,41069,13705,116151,27353,13411,19873,22680,12990,12287,13010,12581,11259,11716,11919,23218,28261,36934,22962,18733
NM-02,NM,2,225412,107186,93613,232053,121272,102644,264910,137454,121870,271734,130545,135450,13380,22640,423032,58605,1961,705846,207762,534358,177682,299999,15151,9810,42357,1383,87373,104872,105339,90251,81483,77362,78813,51133,26769,41078,60645,5231,130893,32729,76652,4886,101601,20714,15761,14941,13253,12794,14621,11951,13659,11058,10166,9649,19643,24812,30589,9844,18091
NM-03,NM,3,262983,131162,103807,267058,147264,111475,299936,163008,130808,297983,153404,137906,12664,15998,299136,148869,1496,705844,243846,540598,207824,214599,10632,9287,105408,1073,84166,96975,88938,89653,80089,84622,90596,58412,28000,40819,65670,9048,132062,39316,66938,8241,113841,20641,15504,15117,17626,13436,12642,12465,11497,11334,9740,10962,19582,24996,31109,16814,18654
NV-01,NV,1,,,,251386,132296,106354,,,,,,,79837,101089,279804,23651,12572,775836,307272,599975,263524,193093,70437,62414,17822,8557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV-02,NV,2,,,,325836,131935,175156,,,,,,,48322,24723,179638,38061,8341,776235,487839,611030,408010,120841,17182,36406,27546,5473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV-03,NV,3,,,,269796,139565,117836,,,,,,,164020,98106,164168,18584,18201,776062,340837,615841,290359,115953,69428,128321,14034,12016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV-04,NV,4,,,,242704,127662,102078,,,,,,,61357,150071,267296,25465,13419,776481,289370,586480,243758,179509,105783,46185,18677,8775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY-01,NY,1,376120,162092,199071,341904,172019,163831,429345,207865,215368,429463,190070,233206,47493,45929,115800,10979,810,776971,561390,624997,468355,80878,34173,35988,7943,577,78731,101317,93133,82380,92006,121475,101712,68620,37125,50752,129786,11390,125695,81992,36717,22482,85927,26861,4423,25810,40429,4815,5535,6044,4405,4979,4877,6175,12657,18456,26982,72037,7867
NY-02,NY,2,324813,144020,168577,289272,149421,134910,366587,176294,185232,362137,153928,204363,31989,94649,212259,15341,954,776971,438240,611855,367149,149958,69976,23737,10919,675,85974,97426,104841,100046,99903,115779,92311,51689,29484,54203,100047,5036,154580,61449,63673,10826,93921,28000,4625,25258,37303,4472,4730,5381,5061,4852,5324,5259,10542,15807,28220,55198,7923
NY-03,NY,3,344063,180142,151638,307793,177727,125037,394446,216924,172450,378292,178095,194280,194297,38098,116410,7883,1009,776971,423148,621713,355269,84660,29728,147447,5701,804,82359,92963,86273,84723,98611,113641,104075,67037,43913,39849,155917,12450,103452,89470,48575,32663,72145,26112,3900,22786,37723,4864,4909,5304,4980,4446,5442,5320,10231,15352,26168,79761,9058
NY-04,NY,4,352242,191158,148717,315700,188242,122798,395629,223908,166536,388641,194462,189492,63605,148651,171562,10312,1092,776971,393800,609622,322474,123665,115479,47653,7764,811,87266,99319,99581,96113,98339,108506,95227,55283,33816,43714,129811,7973,125477,74829,50907,20242,84064,24549,4192,22301,37029,4345,4724,5076,4803,4752,4305,5383,10196,15345,23131,70857,5800
NY-05,NY,5,239268,200133,34377,209428,179664,27649,267618,216236,49325,242000,170189,68170,136686,363560,159791,22110,3629,776971,99311,616662,81185,120717,291168,107725,17359,2961,91943,99619,110069,102447,98366,115636,97612,54382,31418,45243,95289,4015,160583,45745,94378,9376,102849,27558,9795,20144,26435,6709,6566,8475,7818,7637,7504,8873,15063,21580,30909,30837,12924
NY-06,NY,6,198512,135722,56383,171000,121523,46004,233531,149650,81285,209347,109480,96065,361581,44171,193052,13209,1564,776972,181840,632721,153492,150072,35453,296148,9986,1211,82431,78439,87902,112159,101403,107234,90942,57171,36378,43874,128861,7350,137076,58640,100773,13577,66720,27411,10147,20102,26105,9083,11019,11558,9437,9401,7790,8381,18911,24085,33974,31821,14720
NY-07,NY,7,214366,180356,26490,193845,165203,23351,251314,199615,48431,235013,168187,60343,113403,114242,279031,19088,2479,776972,283418,622470,229017,218073,89954,94578,15059,1986,92266,82334,139873,150488,95147,79010,59707,34917,18772,30351,139953,5785,124224,58689,87895,12938,63764,25353,13008,20770,28859,9278,10835,9475,8972,8360,7687,8339,16206,21727,32524,44180,17617
NY-08,NY,8,237262,189197,42518,211408,174959,33093,263927,203839,57668,239380,170473,65030,80630,382856,125497,11103,1631,776971,212838,617339,179732,92987,297616,63362,8609,1266,91864,87030,109657,118020,93273,95690,87315,55899,34924,41011,117710,5289,162040,60385,79084,9636,73058,24908,21515,18766,22030,13733,12589,11244,10531,9533,9331,10367,18492,20628,32800,33076,26652
NY-09,NY,9,237301,186510,44411,214886,176520,34459,270786,204641,63636,250409,173356,71858,83509,361627,88516,9730,1245,776971,250805,601315,183860,67283,294000,63166,7574,986,99798,93596,108739,116068,93170,89245,83354,50888,28214,36970,117096,5618,137261,58752,77352,12273,79091,26500,16577,19903,23677,11211,10927,11062,9733,9850,8575,9287,19132,23652,33239,29691,16531
NY-10,NY,10,263811,224497,29053,241708,208100,26679,286330,241979,40386,276966,218940,51536,187363,64363,148760,12559,2375,776972,378250,633635,314959,116754,51557,151224,9780,2076,82622,74531,115218,141607,101016,84838,68358,44655,25063,18007,176811,16216,70083,96921,82670,34881,40695,22474,14461,18756,30505,8972,9341,8361,7276,7380,7108,7023,13075,17394,26978,92189,19214
NY-11,NY,11,247539,110014,129447,223047,115992,103209,295501,134686,157195,272725,100628,167092,171567,69607,142031,12439,1224,776971,399675,612426,331023,100842,50170,132718,8915,944,87180,92233,94635,101870,98456,105449,92470,55734,31565,37225,118070,5506,148342,58047,79003,13130,75722,26082,10472,20968,30864,7851,8189,8334,8046,7004,7709,8180,16537,21120,30821,40743,13487
NY-12,NY,12,326197,271195,41591,297071,249223,40808,343316,291101,47205,339053,273954,58314,126732,53070,87200,6980,2127,776971,506527,682247,451233,74491,44697,107918,5862,1888,55034,45635,114315,137590,89556,86570,78517,65193,40164,16187,217603,29542,39608,144532,22548,63628,40966,32018,10988,23995,41060,7481,8593,7323,7092,6425,6109,6570,12952,19292,30183,137320,19014
NY-13,NY,13,265125,243798,13951,231955,213250,14017,276080,242573,30506,239540,188808,46800,49320,265285,406407,23198,2701,776971,119776,632159,106775,318682,212653,42186,18398,2134,87943,90955,139340,135774,105256,99555,80622,45801,27820,31806,111842,11245,127695,61078,128801,13555,88599,22749,28534,15946,18007,16235,15814,14004,10280,11247,11579,10096,21020,25782,32253,24889,32916
NY-14,NY,14,207289,168835,32688,179725,149129,27331,231260,178044,50778,203123,131879,67385,103327,157196,406921,25333,2429,776970,142925,611762,124593,308929,119221,81730,19229,1812,87848,87879,110881,120332,94491,90257,71634,42423,24428,39886,88791,4132,140756,39938,113683,7119,72052,23453,15096,17549,21791,10242,11328,10932,10282,8993,8777,7921,18878,22628,29992,21260,20289
NY-15,NY,15,208285,187336,16789,177566,160347,15096,217715,184551,31315,186840,137445,47283,33044,333282,407458,22018,3025,776971,72234,588371,60740,300901,249394,25523,16278,2280,104503,110015,113428,106887,94949,97069,72196,40860,24254,38495,67816,3673,137837,29527,128590,6856,82143,17904,28870,12379,13835,16234,14833,13136,11161,11621,10939,10788,19568,22725,30405,13806,32623
NY-16,NY,16,306815,215230,80794,274123,200544,69119,334601,240160,91076,326298,216167,108141,61243,195980,223639,14370,1320,776972,308656,606530,252636,163055,153275,44774,10669,994,88109,100246,94761,97048,103417,106138,88631,57697,37430,37731,126378,10997,106413,87302,65715,29216,73037,26816,10419,19690,28838,7686,9124,8189,7137,7389,8270,8565,14018,19545,29657,68550,14780
NY-17,NY,17,345213,179410,151619,311493,176452,128703,386978,210411,171524,389343,194302,192139,47291,71329,154546,10542,944,776971,500513,585311,385031,107811,54740,35071,7603,696,98477,108486,92304,87718,91741,110185,94503,56952,34361,37822,132725,10951,103293,84959,48026,22534,77676,24020,4965,22447,32293,5996,5928,5977,5743,6242,5230,5844,11200,16368,26935,71346,7925
NY-18,NY,18,319816,154068,149466,298230,161043,129231,365344,196159,163016,371418,190676,178299,31136,103260,140558,16548,1179,776971,490342,605234,402171,97092,74428,23485,12073,830,87715,107063,103709,91318,95891,107488,96055,55979,31275,54929,99905,8020,145239,62712,48524,10910,95134,30626,8974,23550,32614,9429,9319,8728,8983,8922,8061,8568,17028,23462,32351,40896,12954
NY-19,NY,19,344146,157236,163835,321504,166503,143964,383691,196142,179031,384903,194143,187277,33974,50801,52718,16775,1202,776971,620742,635737,519418,37391,35701,27490,12710,831,71052,99278,111062,88212,85360,105779,108197,70477,37180,62827,94745,13341,159693,60991,48413,12200,87361,31641,13387,21383,24967,12635,12551,13107,11188,11510,11952,11992,23184,29825,39630,25902,17056
NY-20,NY,20,343529,180371,139718,316115,180693,124507,384479,224569,151118,373934,211181,158272,53687,96916,55304,15806,1479,776971,555447,624146,466920,37411,66117,39619,11686,1039,79810,97120,116236,100069,91486,102865,95560,61373,33896,63576,117392,12977,129137,73994,39848,14922,85677,34702,11811,26444,33825,10819,10150,9774,10626,11200,10082,10402,21842,28925,42653,35004,14812
NY-21,NY,21,313631,116528,174775,286420,123952,153212,355972,146455,202220,357087,140758,214512,10755,29447,27119,22423,1304,776971,680797,621217,549509,19457,22232,7750,16848,837,83515,94154,100091,93282,87993,109781,107766,66253,34881,70111,77460,4895,186214,45810,56404,7591,97438,33447,13425,21214,22407,13307,13682,12922,12680,12166,12153,12280,24257,32520,43880,17953,14295
NY-22,NY,22,330885,164220,145355,308119,169687,127528,371891,202853,160633,362520,194091,166358,37739,91789,43315,17295,1105,776971,588441,616358,487243,28761,60381,26933,12261,757,84281,103983,104327,95697,86272,100090,101343,60140,35486,67984,97156,8891,142587,59474,48731,11820,90715,31438,12151,21582,25783,13062,13078,11886,12756,11128,11129,11933,22937,29671,40014,24403,17644
NY-23,NY,23,357094,123200,213225,325376,134344,182286,401370,160041,232953,395116,154428,237461,12668,26871,28159,19004,781,776971,685424,617356,554582,18313,17829,8866,13409,543,83468,94733,86017,89427,86470,113192,113769,68272,39954,75608,88953,7147,177313,57594,42629,9488,93667,33009,13579,22534,26038,12635,13060,14339,12991,12954,12472,12421,23207,31604,42106,23285,14971
NY-24,NY,24,338733,116712,198947,306281,122846,173494,378193,146392,222924,375708,143275,230018,9439,31199,32163,18166,960,776971,681306,619123,551907,21392,21211,6628,13461,653,82713,98047,96135,93259,87413,112689,108275,66518,33456,74226,78928,5113,183568,46218,52624,6767,100542,33773,11684,22747,24721,11871,11918,13023,12773,13191,12008,12697,25376,32687,45144,17754,15122
NY-25,NY,25,357079,192574,141224,325441,189692,124908,391918,231293,150712,375956,220540,151196,40480,137835,73263,12341,1119,776971,521860,618808,437969,48822,95809,30453,9020,767,82994,100608,105265,103548,86387,103671,95197,61082,35384,64490,120284,11021,122188,73047,45893,15552,85832,33051,12901,22191,28623,12320,12485,13492,12227,11575,11703,11590,21677,30511,41772,29567,16273
NY-26,NY,26,321436,181577,124893,286960,179071,100711,354431,218505,129474,339786,200098,134624,50761,161860,56553,14251,891,776971,501202,619021,424275,37489,113762,36663,10003,647,86967,91510,114794,109577,84243,99334,97565,55703,34419,61739,104434,9749,144038,59676,49331,11377,99803,31864,17919,20345,22471,14145,15915,15023,13589,14182,13758,12689,23538,32597,42859,21174,22969
OH-01,OH,1,372005,171637,183796,344730,160422,176878,405878,200126,199450,397244,191603,201912,37437,157029,29652,13748,1161,786630,547539,606393,438128,18777,111484,26521,10111,754,94703,110985,113561,108375,94872,98371,88845,50024,25496,42771,128733,10897,131587,63558,40247,14765,91518,30360,14239,22040,28379,11940,12030,11318,11488,11075,11036,11129,19443,26952,39256,38509,19736
OH-02,OH,2,353812,103858,235154,315752,102042,206929,378358,111600,261545,376022,107317,265831,8536,25109,11994,18488,709,786629,718703,616067,567707,7760,17464,6062,13906,449,87987,103075,99354,94675,95882,108175,102085,63172,31059,50453,70509,4379,215720,34689,59733,5887,101036,28481,17522,19830,18222,14646,15756,14151,13623,12739,12083,12192,22499,28881,41695,16507,17039
OH-03,OH,3,357640,239177,101909,332761,224326,101721,381894,271664,104532,358346,249431,105242,53032,241098,49377,14451,1234,786630,433335,615714,366086,32826,167620,40244,10657,899,100550,100642,136937,126187,93221,86473,74575,43604,23253,35467,139977,10499,116273,62939,42082,17231,96812,29879,13240,21742,24863,12281,10997,13423,13249,14605,13541,13573,25061,31490,41456,31800,17121
OH-04,OH,4,359204,100316,242527,327315,96733,223149,393787,114210,273297,396335,111941,280927,14579,55694,21547,15945,1599,786630,675247,601807,528111,13238,36465,9650,11368,935,94366,109369,95862,91716,99832,104485,98599,61209,31955,52449,77825,3816,208593,34779,43944,5432,108114,33228,11419,21490,22344,11406,12104,12214,12464,13395,13057,13234,24270,32558,43523,18285,13312
OH-05,OH,5,356252,134880,202111,321010,129313,183258,388919,150175,232535,387528,145964,238010,11887,52474,58729,16019,834,786630,648723,617589,523448,37924,35061,8374,11775,586,90360,102445,103267,92423,93833,105057,101003,62028,35519,53908,80172,4856,199013,36796,44457,5992,112193,31246,13638,20555,20838,12101,13688,14119,13629,13758,13608,13146,25440,33229,43159,18076,15880
OH-06,OH,6,358366,126116,217308,320361,122316,190520,382138,131306,245482,365518,118027,244557,6156,61524,25658,16010,721,786630,675162,619332,542227,16201,42319,4207,11628,478,88352,98598,94681,90331,89969,107256,109237,68584,38935,51566,69641,3070,231934,30027,59359,4490,101744,29353,15671,18637,17129,14934,15022,17193,14718,14266,13706,14578,25668,33526,44583,12243,17695
OH-07,OH,7,393850,164824,211861,363000,159715,195023,436786,194811,236653,426048,187691,234785,29809,32769,28927,12405,785,786630,678794,627367,552216,19008,22404,21247,9068,540,84991,95550,86687,93143,94434,108977,110600,70328,38286,48443,128460,6974,162634,58584,32992,13916,107144,36068,8219,25734,29322,9282,9660,10715,10875,10992,10486,11384,25044,31818,47284,34457,9696
OH-08,OH,8,387084,146732,223385,352519,138516,206504,414210,173573,234543,402587,167929,230834,34920,119943,37566,15616,1515,786630,577386,606853,463289,23195,82341,25199,11343,987,97016,106043,97771,99380,91547,103240,98518,58242,32841,43728,113889,8399,167044,49247,38343,9119,100123,32937,8703,24220,27764,8899,10737,10880,12443,11228,11753,11616,22532,30257,42097,28814,13901
OH-09,OH,9,375717,168618,186743,333769,156655,168773,392775,179884,206332,381139,168624,208947,13949,111971,54865,16087,720,786630,591847,611413,478591,34739,75784,10059,11721,466,93614,102855,97865,96194,91990,103428,103465,62580,32920,57439,90952,5187,179103,38933,44309,8358,116915,32565,15468,20831,20899,12051,13050,15375,13705,14070,13455,14030,26518,33055,43953,20189,18719
OH-10,OH,10,370936,161065,192717,335507,148793,179124,391473,181210,203762,379147,172975,202500,26646,150861,31642,17993,1404,786629,559662,614280,453879,20414,106565,19322,13383,950,92721,101175,109286,99973,88391,100477,95638,62664,34166,53055,96272,7419,148376,53885,43655,8970,123592,30141,15411,21791,23251,12949,13613,13329,13734,13853,13427,13310,23459,32580,44750,23398,17425
OH-11,OH,11,358591,282881,65718,316156,247082,63442,358409,280544,74107,320521,247372,70858,28852,373227,61809,12337,1104,786630,320534,622351,277075,42831,275960,22634,9260,790,88214,93603,118847,107172,88127,98396,98224,55544,33228,43044,95348,9783,152130,49451,61831,17937,115345,24007,26181,15829,17775,20308,17440,17999,17807,15482,15548,15631,25199,33474,36757,20395,33397
OH-12,OH,12,354744,115143,223201,330689,114388,209264,405493,141032,258365,410144,141594,265024,29484,43073,16351,16100,819,786630,678141,596931,525104,10058,27313,19719,11564,529,97361,109951,90873,94770,102425,106838,97602,57139,30954,47060,105789,4928,177429,46605,44258,8321,97834,30418,11188,22933,29059,9578,9570,10719,11159,10212,11006,10319,19859,27198,39043,31578,11362
